State code,State,Municipality code,Municipality,Population 2015,Population 2016,Population 2017,Population 2018,Population 2019,Cases 2015,Cases 2016,Cases 2017,Cases 2018,Cases 2019
13,Bolívar,13442,María La Baja,48461,47180,46116,46112,47389,16,1,0,3,26
13,Bolívar,13458,Montecristo,15639,15983,16128,16389,17017,6,9,5,22,17
13,Bolívar,13468,Mompós,44628,44527,44233,44442,45498,483,133,38,34,164
13,Bolívar,13473,Morales,21442,21720,21887,22259,22846,33,10,1,9,29
13,Bolívar,13490,Norosí,7359,7573,7640,9212,9587,19,2,2,9,50
13,Bolívar,13549,Pinillos,26499,26087,25029,24218,24433,38,11,5,3,61
13,Bolívar,13580,Regidor,5357,5988,6429,6723,6983,14,3,0,0,10
13,Bolívar,13600,Río Viejo,11730,11743,11827,10598,10638,12,1,3,4,17
13,Bolívar,13620,San Cristóbal,7416,7647,7835,8054,8330,2,0,1,1,51
13,Bolívar,13647,San Estanislao,17335,17557,17827,18251,18729,4,0,1,1,44
13,Bolívar,13650,San Fernando,13388,13191,12769,12536,12813,16,6,1,0,14
13,Bolívar,13654,San Jacinto,23819,23827,23786,23913,24232,100,20,5,7,282
13,Bolívar,13655,San Jacinto del Cauca,9548,9692,9766,9935,10305,2,7,3,9,3
13,Bolívar,13657,San Juan Nepomuceno,36439,36533,36515,36874,37765,25,3,5,86,206
13,Bolívar,13667,San Martín de Loba,16117,15841,15230,14774,14792,103,26,3,1,45
13,Bolívar,13670,San Pablo,26917,27032,27060,27190,28043,17,17,3,45,19
13,Bolívar,13673,Santa Catalina,14371,14495,14483,14563,14747,3,1,1,1,38
13,Bolívar,13683,Santa Rosa,20000,20284,20550,20963,21766,42,6,1,11,44
13,Bolívar,13688,Santa Rosa del Sur,30378,31091,31809,32646,33701,160,33,24,322,373
13,Bolívar,13744,Simití,18684,18398,18083,18110,18678,11,2,5,35,34
13,Bolívar,13760,Soplaviento,10362,10407,10473,10650,10733,30,0,0,1,4
13,Bolívar,13780,Talaigua Nuevo,12866,12997,13014,13108,13106,55,3,2,3,24
13,Bolívar,13810,Tiquisio,19469,18672,18096,18035,18584,32,12,13,4,29
13,Bolívar,13836,Turbaco,92560,97108,101014,105166,109813,55,21,14,43,345
13,Bolívar,13838,Turbaná,14907,15508,15945,16403,16954,2,0,1,0,229
13,Bolívar,13873,Villanueva,22378,22700,23126,23777,24581,0,1,11,2,131
13,Bolívar,13894,Zambrano,11183,11379,11617,11880,12113,6,2,1,4,40
15,Boyacá,15001,Tunja,168273,169594,171247,172548,176347,1,0,0,0,0
15,Boyacá,15022,Almeida,2039,2015,1951,1910,1845,0,0,0,0,0
15,Boyacá,15047,Aquitania,15845,15685,15454,15377,15460,0,0,0,0,0
15,Boyacá,15051,Arcabuco,5559,5659,5756,5831,5911,0,0,0,0,0
15,Boyacá,15087,Belén,8244,7900,7626,7481,7500,1,0,0,0,0
15,Boyacá,15090,Berbeo,1744,1689,1623,1596,1587,2,2,0,0,4
15,Boyacá,15092,Betéitiva,2174,2103,1999,1963,1943,0,0,0,0,1
15,Boyacá,15097,Boavita,6194,5874,5416,5059,4888,0,38,0,0,6
15,Boyacá,15104,Boyacá,5130,5127,5078,5089,5103,5,6,0,2,4
15,Boyacá,15106,Briceño,2434,2354,2251,2198,2175,0,7,0,0,0
15,Boyacá,15109,Buenavista,5067,4742,4498,4409,4396,0,0,0,0,0
15,Boyacá,15114,Busbanzá,1010,1074,1087,1118,1138,0,0,0,0,0
15,Boyacá,15131,Caldas,3504,3341,3201,3143,3127,1,0,0,0,2
15,Boyacá,15135,Campohermoso,3566,3418,3223,3121,3082,34,2,0,0,3
15,Boyacá,15162,Cerinza,4073,3922,3781,3713,3703,0,0,0,1,0
15,Boyacá,15172,Chinavita,3477,3372,3263,3209,3198,1,1,0,0,0
15,Boyacá,15176,Chiquinquirá,55667,55756,55925,56054,57101,1,0,0,0,0
15,Boyacá,15180,Chiscas,4722,4433,4129,3994,3924,0,0,0,0,0
15,Boyacá,15183,Chita,9604,9065,8434,8045,7881,0,0,0,0,0
15,Boyacá,15185,Chitaraque,6094,6003,5869,5830,5843,43,40,8,2,24
15,Boyacá,15187,Chivatá,2922,2871,2800,2788,2812,0,0,0,0,0
15,Boyacá,15189,Ciénega,4836,4754,4661,4635,4642,1,0,0,0,0
15,Boyacá,15204,Cómbita,12647,12715,12767,12970,13140,0,0,0,0,0
15,Boyacá,15212,Coper,3925,3818,3694,3619,3585,2,130,19,0,1
15,Boyacá,15215,Corrales,2511,2525,2499,2498,2523,1,0,0,0,0
15,Boyacá,15218,Covarachía,2993,2933,2856,2806,2742,2,1,0,0,16
15,Boyacá,15223,Cubará,7942,8978,9808,10319,10563,49,18,0,18,7
15,Boyacá,15224,Cucaita,3829,3786,3750,3725,3759,0,0,0,0,0
15,Boyacá,15226,Cuítiva,1895,1860,1815,1798,1804,0,0,0,0,0
15,Boyacá,15232,Chíquiza,4917,4825,4722,4684,4713,0,0,0,0,0
15,Boyacá,15236,Chivor,2310,2379,2412,2479,2504,1,0,0,0,0
15,Boyacá,15238,Duitama,120219,120909,121715,122436,124780,0,0,0,0,3
15,Boyacá,15244,El Cocuy,5148,4810,4445,4215,4150,0,0,0,0,0
15,Boyacá,15248,El Espino,3400,3201,3094,3061,3054,0,0,0,0,0
15,Boyacá,15272,Firavitoba,6433,6486,6542,6662,6737,0,0,0,0,0
15,Boyacá,15276,Floresta,3535,3463,3350,3266,3240,0,0,0,0,0
15,Boyacá,15293,Gachantivá,2948,2895,2818,2789,2779,0,0,0,0,0
15,Boyacá,15296,Gámeza,5044,4960,4878,4850,4845,0,0,0,0,0
15,Boyacá,15299,Garagoa,18031,17979,17922,17932,18144,3,2,0,0,2
15,Boyacá,15317,Guacamayas,1985,1940,1893,1865,1843,0,0,0,0,1
15,Boyacá,15322,Guateque,10399,10499,10633,10699,10809,1,1,0,2,0
15,Boyacá,15325,Guayatá,4232,3696,3457,3400,3387,0,0,0,0,0
15,Boyacá,15332,Güicán de La Sierra,4503,4419,4325,4279,4285,0,0,0,0,0
15,Boyacá,15362,Iza,1959,1954,1943,1947,1972,0,0,0,0,0
15,Boyacá,15367,Jenesano,7156,7157,7149,7200,7274,1,0,0,0,0
15,Boyacá,15368,Jericó,4589,4324,4055,3929,3900,0,0,0,0,1
15,Boyacá,15377,Labranzagrande,4534,4046,3691,3526,3501,26,6,0,0,57
15,Boyacá,15380,La Capilla,2859,2794,2727,2689,2686,0,1,0,1,0
15,Boyacá,15401,La Victoria,1220,1169,1125,1118,1118,0,0,0,0,0
15,Boyacá,15403,La Uvita,3349,3264,3125,2999,2831,0,1,0,0,0
15,Boyacá,15407,Villa de Leyva,12818,14197,15394,16139,16617,0,1,1,0,0
15,Boyacá,15425,Macanal,4762,4853,4921,4976,5027,1,0,0,0,0
15,Boyacá,15442,Maripí,6707,6268,5899,5741,5697,0,81,20,2,12
15,Boyacá,15455,Miraflores,9203,9030,8897,8847,8937,41,92,0,0,13
15,Boyacá,15464,Mongua,4871,4755,4667,4636,4620,0,0,0,0,0
15,Boyacá,15466,Monguí,4782,4605,4385,4234,4266,0,0,0,0,0
15,Boyacá,15469,Moniquirá,22392,22493,22504,22572,22821,31,311,5,0,119
