State code,State,Municipality code,Municipality,Population 2015,Population 2016,Population 2017,Population 2018,Population 2019,Cases 2015,Cases 2016,Cases 2017,Cases 2018,Cases 2019,Age 0-4 (%),Age 5-14 (%),Age 15-29 (%),Age >30 (%),Afrocolombian Population (%),Indian Population (%),People with Disabilities (%),People who cannot read or write (%),Secondary/Higher Education (%),Employed population (%),Unemployed population (%),People doing housework (%),Retired people (%),Men (%),Women (%),Households without water access (%),Households without internet access (%),Building stratification 1 (%),Building stratification 2 (%),Building stratification 3 (%),Building stratification 4 (%),Building stratification 5 (%),Building stratification 6 (%),Number of hospitals per Km2,Number of houses per Km2
5,Antioquia,5190,Cisneros,10504,10251,9934,9775,9844,25,82,43,4,27,5.5,14.31,22.44,57.76,1.23,0.07,11.59,5.25,52.12,33.7,5.69,23.7,2.38,47.92,52.08,26.37,56.86,0.27049595141700405,0.41700404858299595,0.08274291497975708,0.0020242914979757085,0.0,0.0,0.043478260869565216,67.28260869565217
5,Antioquia,5197,Cocorná,17147,16722,15960,15444,15042,1,38,2,1,17,7.14,16.13,23.07,53.67,0.58,0.0,16.43,10.05,38.57,32.27,5.91,24.39,1.31,49.4,50.6,19.55,53.6,0.1749209694415174,0.30242360379346683,0.07329352534831987,0.00035124692658939234,0.00011708230886313078,0.0,0.004761904761904762,24.176190476190477
5,Antioquia,5206,Concepción,5025,4946,4812,4797,4760,0,1,0,0,0,5.49,14.13,21.27,59.12,0.3,0.0,7.09,7.7,41.74,39.94,1.22,25.94,1.55,51.4,48.6,25.01,44.87,0.12243374393430384,0.3049645390070922,0.0761478163493841,0.0003732736095558044,0.0003732736095558044,0.0,0.005988023952095809,8.275449101796408
5,Antioquia,5209,Concordia,21029,21039,21058,21377,21504,2,9,2,0,2,5.64,15.17,24.56,54.64,0.39,0.0,12.11,15.41,34.94,34.25,1.24,25.82,0.63,49.84,50.16,28.1,66.9,0.18225384838803368,0.44684867847807147,0.11777519604995643,0.007696776067383096,0.0008713331397037467,0.00043566656985187334,0.004329004329004329,22.78787878787879
5,Antioquia,5212,Copacabana,75253,75706,76394,77884,80000,70,283,38,14,35,4.6,11.72,25.55,58.13,0.89,0.07,15.6,3.37,67.44,44.25,4.36,14.79,6.3,48.49,51.51,3.62,29.21,0.04229017566688354,0.5461938841899805,0.27159690594954095,0.011060507482108002,0.0053133810453263935,0.003795272175233138,0.05714285714285714,350.72857142857146
5,Antioquia,5234,Dabeiba,22525,22588,22653,23044,23255,12,6,6,3,145,10.12,22.6,26.28,41.0,0.51,20.9,11.03,18.3,32.84,33.01,2.56,22.09,0.38,50.83,49.17,41.07,74.91,0.47502615062761505,0.1439592050209205,0.09126569037656904,0.0010460251046025104,0.0,0.0,0.0005310674455655868,3.435475305363781
5,Antioquia,5237,Donmatías,18528,18575,18648,18902,19332,4,3,2,2,1,6.06,15.49,26.65,51.79,0.45,0.0,4.08,4.01,53.27,44.09,3.86,17.36,1.17,46.19,53.81,7.33,43.06,0.03164942178940962,0.5077601947656726,0.16220328667072428,0.008825319537431528,0.0004564820450395618,0.0,0.011049723756906077,25.92265193370166
5,Antioquia,5240,Ebéjico,11968,11989,11978,12158,12108,6,46,3,3,0,4.51,13.74,19.84,61.92,0.45,0.02,19.48,12.07,35.36,36.42,1.98,27.63,2.18,51.12,48.88,6.73,63.41,0.4217610768367919,0.2142456533931576,0.05010282295756216,0.0029912133108992334,0.0028042624789680315,0.002056459151243223,0.00425531914893617,16.195744680851064
5,Antioquia,5250,El Bagre,47756,49274,50497,51862,52925,38,66,102,89,323,9.0,23.44,27.06,40.5,4.65,1.85,2.14,11.77,42.67,33.22,4.69,19.13,0.26,50.06,49.94,21.29,62.86,0.5410364638292883,0.13835150662445772,0.013776527142689647,0.00046898815804900925,0.00011724703951225231,0.00011724703951225231,0.0019193857965451055,8.17274472168906
5,Antioquia,5264,Entrerríos,10369,10541,10764,11159,11465,2,1,0,0,1,6.75,15.7,26.24,51.32,0.35,0.08,10.18,3.68,53.97,42.89,1.6,20.17,1.59,49.98,50.02,11.19,44.77,0.02789864346045559,0.20194522651650884,0.3967238290248272,0.07038648579472741,0.002303557716918352,0.002559508574353724,0.0136986301369863,12.598173515981735
